               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.033087,             0.01459,                   0,             0.79442,             0.69897,             0.77622,             0.40062,            0.044622,             0.03012,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.033198,             0.01458,                   0,             0.79778,             0.72247,             0.79843,             0.41782,             0.04146,              0.0277,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033063,            0.014291,                   0,             0.70755,             0.70999,             0.74022,             0.39092,            0.043132,            0.035465,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.032851,            0.014514,                   0,             0.82569,             0.63993,              0.7605,             0.38613,            0.043298,            0.028952,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.032762,            0.014092,                   0,             0.84681,             0.75991,             0.83707,             0.45555,            0.039836,            0.025976,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.032799,            0.014637,                   0,             0.83973,             0.72981,                0.81,             0.42461,            0.041892,            0.026569,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.032504,            0.014378,                   0,             0.81436,              0.7254,             0.80624,             0.41968,            0.042177,             0.02736,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.033269,            0.014497,                   0,             0.82535,             0.75991,             0.82475,             0.44281,            0.040327,            0.025789,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032947,            0.014523,                   0,             0.83988,             0.71249,             0.80302,             0.41905,            0.041046,            0.027468,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.032152,             0.01403,                   0,             0.81251,             0.73054,              0.8115,              0.4288,            0.040835,            0.026925,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.032109,            0.014161,                   0,              0.7801,             0.71219,             0.79525,             0.41859,            0.042193,            0.027053,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032718,            0.014547,                   0,              0.8384,             0.74277,             0.83157,             0.43742,            0.040936,            0.025977,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032989,            0.014357,                   0,             0.84647,             0.69971,             0.80511,             0.42096,            0.041969,            0.027412,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.033503,            0.014585,                   0,             0.82569,             0.74596,             0.82802,             0.44112,            0.040014,            0.026352,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.032483,            0.013858,                   0,             0.82858,               0.721,             0.81795,             0.44355,            0.039898,            0.028764,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033187,            0.014301,                   0,             0.83126,             0.74146,               0.825,             0.44349,            0.039671,            0.025981,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032347,            0.013947,                   0,             0.83731,             0.74009,             0.80727,             0.43409,            0.040309,             0.02769,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.031964,            0.014096,                   0,             0.80306,             0.76285,             0.82712,             0.44759,            0.039881,            0.026966,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.032543,            0.014579,                   0,             0.77034,             0.68218,             0.75717,             0.39925,            0.041692,            0.028133,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.032138,            0.014242,                   0,             0.81718,             0.76794,             0.83525,             0.45133,            0.039688,            0.025655,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.031434,            0.013965,                   0,             0.80814,             0.73912,             0.81481,             0.45231,            0.039656,            0.030383,                   0,           0.0084754,           0.0084754,           0.0084754
